File,Line,Column,Level,Category,Name,Warning,Suggestion,Note,CWEs,Context,Fingerprint
/home/input/C/testcases/CWE416_Use_After_Free/CWE416_Use_After_Free__operator_equals_01_bad.cpp,26,17,4,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120),"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused)",,CWE-120,"                strcpy(this->name, name);",d20b4f6516b4ec19911beec6e31f264cafa04d57d8cd305d8eb58de1fb9f4bb8
/home/input/C/testcases/CWE416_Use_After_Free/CWE416_Use_After_Free__operator_equals_01_bad.cpp,44,13,4,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120),"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused)",,CWE-120,"            strcpy(this->name, badClassObject.name);",247412e3eab1656891c60758deb286c96e6b36a9bf1e7cf871b340f321c433f3
/home/input/C/testcases/CWE416_Use_After_Free/CWE416_Use_After_Free__operator_equals_01_bad.cpp,52,13,4,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120),"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused)",,CWE-120,"            strcpy(this->name, badClassObject.name); /* FLAW - if this is a self-assignment, ",4aba6fa2531b42310613730b17bb7dc6b894b3d1f2524c945fad52d5436463c7
/home/input/C/testcases/CWE416_Use_After_Free/CWE416_Use_After_Free__operator_equals_01_good1.cpp,26,17,4,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120),"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused)",,CWE-120,"                strcpy(this->name, name);",d20b4f6516b4ec19911beec6e31f264cafa04d57d8cd305d8eb58de1fb9f4bb8
/home/input/C/testcases/CWE416_Use_After_Free/CWE416_Use_After_Free__operator_equals_01_good1.cpp,44,4,4,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120),"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused)",,CWE-120,"			strcpy(this->name, goodClassObject.name);",4a239c558cf70bf40c7417e88f4e695917ad7b34bcb7ab42773cf6a5c7883ffc
/home/input/C/testcases/CWE416_Use_After_Free/CWE416_Use_After_Free__operator_equals_01_good1.cpp,54,5,4,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120),"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused)",,CWE-120,"				strcpy(this->name, goodClassObject.name);",4a239c558cf70bf40c7417e88f4e695917ad7b34bcb7ab42773cf6a5c7883ffc
/home/input/C/testcases/CWE416_Use_After_Free/CWE416_Use_After_Free__malloc_free_char_01.c,96,5,3,random,srand,This function is not sufficiently random for security-related functions such as key and nonce creation (CWE-327),Use a more secure technique for acquiring random values,,CWE-327,    srand( (unsigned)time(NULL) );,4714e018b4410f03e2dc01b8bc247e2d893be07b90ea89b7c54b723976007b1c
/home/input/C/testcases/CWE416_Use_After_Free/CWE416_Use_After_Free__malloc_free_char_02.c,172,5,3,random,srand,This function is not sufficiently random for security-related functions such as key and nonce creation (CWE-327),Use a more secure technique for acquiring random values,,CWE-327,    srand( (unsigned)time(NULL) );,4714e018b4410f03e2dc01b8bc247e2d893be07b90ea89b7c54b723976007b1c
/home/input/C/testcases/CWE416_Use_After_Free/CWE416_Use_After_Free__malloc_free_char_03.c,172,5,3,random,srand,This function is not sufficiently random for security-related functions such as key and nonce creation (CWE-327),Use a more secure technique for acquiring random values,,CWE-327,    srand( (unsigned)time(NULL) );,4714e018b4410f03e2dc01b8bc247e2d893be07b90ea89b7c54b723976007b1c
/home/input/C/testcases/CWE416_Use_After_Free/CWE416_Use_After_Free__malloc_free_char_04.c,178,5,3,random,srand,This function is not sufficiently random for security-related functions such as key and nonce creation (CWE-327),Use a more secure technique for acquiring random values,,CWE-327,    srand( (unsigned)time(NULL) );,4714e018b4410f03e2dc01b8bc247e2d893be07b90ea89b7c54b723976007b1c
/home/input/C/testcases/CWE416_Use_After_Free/CWE416_Use_After_Free__malloc_free_char_05.c,178,5,3,random,srand,This function is not sufficiently random for security-related functions such as key and nonce creation (CWE-327),Use a more secure technique for acquiring random values,,CWE-327,    srand( (unsigned)time(NULL) );,4714e018b4410f03e2dc01b8bc247e2d893be07b90ea89b7c54b723976007b1c
/home/input/C/testcases/CWE416_Use_After_Free/CWE416_Use_After_Free__malloc_free_char_06.c,177,5,3,random,srand,This function is not sufficiently random for security-related functions such as key and nonce creation (CWE-327),Use a more secure technique for acquiring random values,,CWE-327,    srand( (unsigned)time(NULL) );,4714e018b4410f03e2dc01b8bc247e2d893be07b90ea89b7c54b723976007b1c
/home/input/C/testcases/CWE416_Use_After_Free/CWE416_Use_After_Free__malloc_free_char_07.c,177,5,3,random,srand,This function is not sufficiently random for security-related functions such as key and nonce creation (CWE-327),Use a more secure technique for acquiring random values,,CWE-327,    srand( (unsigned)time(NULL) );,4714e018b4410f03e2dc01b8bc247e2d893be07b90ea89b7c54b723976007b1c
/home/input/C/testcases/CWE416_Use_After_Free/CWE416_Use_After_Free__malloc_free_char_08.c,185,5,3,random,srand,This function is not sufficiently random for security-related functions such as key and nonce creation (CWE-327),Use a more secure technique for acquiring random values,,CWE-327,    srand( (unsigned)time(NULL) );,4714e018b4410f03e2dc01b8bc247e2d893be07b90ea89b7c54b723976007b1c
/home/input/C/testcases/CWE416_Use_After_Free/CWE416_Use_After_Free__malloc_free_char_09.c,172,5,3,random,srand,This function is not sufficiently random for security-related functions such as key and nonce creation (CWE-327),Use a more secure technique for acquiring random values,,CWE-327,    srand( (unsigned)time(NULL) );,4714e018b4410f03e2dc01b8bc247e2d893be07b90ea89b7c54b723976007b1c
/home/input/C/testcases/CWE416_Use_After_Free/CWE416_Use_After_Free__malloc_free_char_10.c,172,5,3,random,srand,This function is not sufficiently random for security-related functions such as key and nonce creation (CWE-327),Use a more secure technique for acquiring random values,,CWE-327,    srand( (unsigned)time(NULL) );,4714e018b4410f03e2dc01b8bc247e2d893be07b90ea89b7c54b723976007b1c
/home/input/C/testcases/CWE416_Use_After_Free/CWE416_Use_After_Free__malloc_free_char_11.c,172,5,3,random,srand,This function is not sufficiently random for security-related functions such as key and nonce creation (CWE-327),Use a more secure technique for acquiring random values,,CWE-327,    srand( (unsigned)time(NULL) );,4714e018b4410f03e2dc01b8bc247e2d893be07b90ea89b7c54b723976007b1c
/home/input/C/testcases/CWE416_Use_After_Free/CWE416_Use_After_Free__malloc_free_char_12.c,163,5,3,random,srand,This function is not sufficiently random for security-related functions such as key and nonce creation (CWE-327),Use a more secure technique for acquiring random values,,CWE-327,    srand( (unsigned)time(NULL) );,4714e018b4410f03e2dc01b8bc247e2d893be07b90ea89b7c54b723976007b1c
/home/input/C/testcases/CWE416_Use_After_Free/CWE416_Use_After_Free__malloc_free_char_13.c,172,5,3,random,srand,This function is not sufficiently random for security-related functions such as key and nonce creation (CWE-327),Use a more secure technique for acquiring random values,,CWE-327,    srand( (unsigned)time(NULL) );,4714e018b4410f03e2dc01b8bc247e2d893be07b90ea89b7c54b723976007b1c
/home/input/C/testcases/CWE416_Use_After_Free/CWE416_Use_After_Free__malloc_free_char_14.c,172,5,3,random,srand,This function is not sufficiently random for security-related functions such as key and nonce creation (CWE-327),Use a more secure technique for acquiring random values,,CWE-327,    srand( (unsigned)time(NULL) );,4714e018b4410f03e2dc01b8bc247e2d893be07b90ea89b7c54b723976007b1c
